SHIP_NAME,MISSIONS
GO Ms Tree,"KoreaSat 5A,Paz / Starlink Demo,Iridium NEXT Mission 5,Iridium NEXT Mission 6,Iridium NEXT Mission 7,SSO-A,STP-2,Amos-17,Starlink 1,JCSat 18 / Kacific 1,Starlink 2,Starlink 3,Starlink 4"
GO Quest,"CRS-5,DSCOVR,CRS-6,CRS-7,SES-9,CRS-8,JCSAT-2B,Thaicom 8,ABS-2A / Eutelsat 117W B,CRS-9,JCSAT-16,SES-10,BulgariaSat-1,Boeing X-37B OTV-5,SES-11 / Echostar 105,SES-16 / GovSat-1,TESS,Bangabandhu-1,Telstar 19V,Telstar 18V,CRS-16,ArabSat 6A,CRS-17,Starlink v0.9,STP-2,Starlink 2,Starlink 3,Starlink 4"
GO Navigator,"ArabSat 6A,Starlink v0.9,STP-2,Amos-17,Starlink 1,Starlink 2"
Just Read The Instructions 2,"Jason 3,Iridium NEXT Mission 1,Iridium NEXT Mission 2,FormoSat-5,Iridium NEXT Mission 3,Iridium NEXT Mission 7,SSO-A,Iridium NEXT Mission 8"
NRC Quest,"CRS-5,CRS-6,Jason 3,CRS-8,CRS-9,Iridium NEXT Mission 1,CRS-10,CRS-11,Iridium NEXT Mission 2,CRS-12,CRS-13,CRS-14,CRS-15,Iridium NEXT Mission 7,SSO-A,Iridium NEXT Mission 8"
Of Course I Still Love You,"SES-9,CRS-8,Thaicom 8,ABS-2A / Eutelsat 117W B,JCSAT-16,SES-10,BulgariaSat-1,SES-11 / Echostar 105,KoreaSat 5A,Falcon Heavy Test Flight,TESS,Bangabandhu-1,Telstar 19V,Merah Putih,Telstar 18V,Esâ€™hail 2,Nusantara Satu (PSN-6) / S5 / Beresheet,CCtCap Demo Mission 1,ArabSat 6A,CRS-17,Starlink v0.9,STP-2,Starlink 1,JCSat 18 / Kacific 1,Starlink 2,Starlink 3,Starlink 4,Starlink 5"
Pacific Freeedom,"Jason 3,Iridium NEXT Mission 7,SSO-A,Iridium NEXT Mission 8"
GO Searcher,"CRS-5,DSCOVR,CRS-6,CRS-7,SES-9,CRS-8,JCSAT-2B,Thaicom 8,ABS-2A / Eutelsat 117W B,CRS-9,JCSAT-16,SES-10,NROL-76,BulgariaSat-1,Falcon Heavy Test Flight,ArabSat 6A,Starlink v0.9,Crew Dragon In Flight Abort Test"
Hollywood,"ArabSat 6A,CRS-17,STP-2"
GO Ms Chief,"JCSat 18 / Kacific 1,Starlink 3,Starlink 4"
